Time		Cap_one		Cap_two		Cap_three		Cap_four
   74.6566		5501658		2588055		1822511		2384123	
   74.8523		5504114		2589466		1762663		2384931	
   75.0525		5504898		2590355		1693182		2384984	
   75.2493		5500090		2590930		1745656		2386922	
   75.4498		5506832		2590668		1842909		2387621	
   75.6465		5511745		2589780		1790865		2390097	
   75.8477		5492617		2591191		1803190		2379872	
   76.0435		5510752		2589937		1764654		2385953	
   76.2450		5497896		2589832		1830423		2386330	
   76.4418		5500926		2587376		1826763		2384446	
   76.6430		5507616		2587324		1844416		2385199	
   76.8387		5506884		2591296		1773427		2387568	
   77.0350		5497216		2591087		1754752		2382885	
   77.2382		5521413		2591870		1730909		2382831	
   77.4321		5526848		2590668		1747217		2385307	
   77.6327		5515142		2593595		1781070		2385684	
   77.8293		5513469		2592602		1743719		2383800	
   78.0311		5503226		2590355		1800660		2385953	
   78.2273		5507721		2591870		1860885		2383316	
   78.4278		5501345		2589362		1837258		2386437	
   78.6245		5504585		2591504		1772297		2389882	
   78.8258		5501606		2591243		1786237		2384554	
   79.0214		5519166		2588578		1776818		2377503	
   79.2226		5507825		2593020		1755182		2383692	
   79.4196		5510124		2591243		1788443		2384500	
   79.6246		5512110		2588944		1690544		2381378	
   79.8167		5505421		2591139		1763686		2386060	
   80.0169		5502337		2588474		1705829		2383746	
   80.2137		5507355		2589205		1740974		2386222	
   80.4136		5507459		2590407		1828431		2382078	
   80.6115		5504428		2589362		1826978		2383692	
   80.8081		5507877		2589257		1828969		2384554	
   81.0130		5512424		2589362		1721814		2384661	
   81.2116		5512529		2591191		1743288		2384231	
   81.4058		5502442		2590146		1753675		2387837	
   81.6024		5500874		2592498		1842048		2384177	
   81.8058		5504637		2588212		1820251		2385953	
   81.9993		5501815		2589989		1809218		2387675	
   82.1997		5517128		2592393		1812555		2385092	
   82.3982		5502912		2588526		1784299		2382132	
   82.5969		5495178		2591191		1812823		2385845	
   82.7936		5494603		2589310		1749370		2384877	
   82.9951		5498732		2587533		1817344		2382831	
   83.1918		5501972		2591818		1779509		2383800	
   83.3918		5508818		2591087		1761964		2385307	
   83.5891		5496850		2590093		1750016		2378580	
   83.7888		5504428		2589623		1747432		2388590	
   83.9857		5509759		2589205		1733762		2384016	
   84.1859		5502860		2589414		1782523		2386653	
   84.3832		5503853		2589885		1783007		2384016	
   84.5830		5508661		2591452		1730318		2384123	
   84.7806		5504480		2590303		1823695		2383746	
   84.9797		5504689		2593700		1825902		2387460	
   85.1778		5506257		2592184		1796301		2386599	
   85.3743		5498732		2591087		1717831		2391120	
   85.5747		5499777		2591139		1792587		2386760	
   85.7722		5500718		2589153		1770306		2385845	
   85.9725		5510647		2588996		1749800		2379441	
   86.1688		5506832		2591923		1790004		2383854	
   86.3702		5504585		2589153		1768960		2382616	
   86.5660		5500404		2589414		1729295		2380194	
   86.7672		5504637		2589623		1801575		2387406	
   86.9638		5497582		2589989		1769821		2386060	
   87.1640		5518486		2592236		1797377		2384338	
   87.3606		5510072		2590093		1791888		2384661	
   87.5621		5497111		2589728		1760295		2384446	
   87.7590		5504846		2588108		1705722		2380948	
   87.9590		5497843		2590825		1749800		2383585	
   88.1560		5507825		2590564		1830208		2381970	
   88.3561		5499829		2590825		1761695		2379118	
   88.5530		5517284		2591296		1776172		2382509	
   88.7527		5507721		2589623		1776764		2385146	
   88.9496		5495805		2592864		1829669		2383047	
   89.1473		5513260		2587951		1776872		2382724	
   89.3478		5499934		2592132		1789681		2385199	
   89.5439		5511692		2589519		1760080		2381863	
   89.7453		5502181		2590878		1802975		2380894	
   89.9417		5502756		2590459		1776980		2385792	
   90.1416		5500822		2588892		1743234		2387083	
   90.3392		5480806		2590512		1836128		2385307	
   90.5394		5522354		2591400		1814169		2388483	
   90.7358		5510543		2589257		1779939		2383854	
   90.9363		5500926		2589989		1782684		2387729	
   91.1327		5488593		2590146		1754806		2383262	
   91.3334		5507355		2589832		1742535		2386491	
   91.5301		5506309		2594850		1763148		2387783	
   91.7305		5505421		2590512		1732416		2386276	
   91.9276		5505473		2590198		1772728		2389397	
   92.1289		5511170		2589623		1828754		2387245	
   92.3269		5498888		2589101		1804643		2384554	
   92.5259		5493087		2586801		1806903		2384016	
   92.7264		5505003		2592968		1819121		2391389	
   92.9192		5503540		2589257		1801360		2386922	
   93.1203		5502442		2590093		1809325		2387191	
   93.3186		5502494		2592341		1756958		2382347	
   93.5168		5502965		2592289		1777464		2387998	
   93.7133		5500665		2589205		1750392		2384607	
   93.9145		5506100		2590564		1720522		2384500	
   94.1110		5495544		2589937		1773965		2385253	
   94.3112		5496641		2592079		1689630		2385522	
   94.5083		5504167		2588839		1764009		2383746	
   94.7088		5512006		2592236		1772136		2383477	
   94.9056		5499097		2589466		1827839		2384769	
   95.1067		5499672		2591504		1876816		2384554	
   95.3025		5509811		2588996		1819390		2386222	
   95.5030		5498418		2592759		1830638		2378472	
   95.7002		5500979		2590093		1760726		2381540	
   95.9014		5502494		2591766		1736184		2381755	
   96.0973		5497791		2591296		1794471		2378526	
